timeofday,xjo,kospi,nikkei
14:23:00,-0.00474788,0.74003485,0.00848002
14:24:00,0.00020811,0.73080723,-0.04742185
14:25:00,0.01604396,0.66603053,-0.07023026
14:26:00,0.02719765,0.76514541,-0.05671076
14:27:00,0.03697056,0.75620273,-0.05625627
14:28:00,0.06249248,0.71005316,-0.05827760
14:29:00,0.04587835,0.70393639,-0.05051354
14:30:00,0.07582027,0.71550797,-0.05852458
14:31:00,0.08027510,0.57839419,-0.13275651
14:32:00,0.08233516,0.60350873,-0.14322434
14:33:00,0.08815864,0.64359633,-0.14522713
14:34:00,0.09421223,0.63570069,-0.15008994
14:35:00,0.09755691,0.64452948,-0.15759012
14:36:00,0.08919831,0.62942010,-0.15699241
14:37:00,0.03095409,0.64670291,-0.18494773
14:38:00,0.02128321,0.58041004,-0.18347111
14:39:00,0.01753990,0.56425866,-0.22104075
14:40:00,0.01413215,0.55743057,-0.23773686
14:41:00,0.04228398,0.53411442,-0.20729913
14:42:00,0.04400490,0.52291850,-0.20126395
14:43:00,0.06505206,0.49204592,-0.19397506
14:44:00,0.04626188,0.46208979,-0.23288478
14:45:00,0.04378657,0.48205339,-0.28007587
14:46:00,0.04340263,0.48257221,-0.28150962
14:47:00,0.03761214,0.49181296,-0.27293626
14:48:00,0.03692708,0.42751836,-0.24221169
14:49:00,0.03645866,0.48963886,-0.27784462
14:50:00,0.02525973,0.46255376,-0.26258840
14:51:00,0.04647685,0.37253516,-0.25632061
14:52:00,0.02023009,0.36786716,-0.26104458
14:53:00,0.01584144,0.40683356,-0.29518762
14:54:00,0.01020825,0.43765372,-0.28473689
14:55:00,0.00220274,0.51577435,-0.31947690
14:56:00,-0.01392627,0.50956105,-0.31297022
14:57:00,0.01209164,0.48410606,-0.29610650
14:58:00,0.02226724,0.45181721,-0.32856803
14:59:00,0.00589306,0.38270402,-0.32728708
15:00:00,-0.00376228,0.48488807,-0.33168819
15:01:00,-0.00798517,0.47741422,-0.34625677
15:02:00,-0.03436353,0.48056331,-0.36532350
15:03:00,-0.04621151,0.42677074,-0.37527794
15:04:00,-0.02550686,0.41244814,-0.37511975
15:05:00,-0.03334094,0.41542189,-0.33866397
15:06:00,-0.03029789,0.47758328,-0.31143940
15:07:00,-0.03704246,0.47249104,-0.27806021
15:08:00,-0.03384286,0.48912389,-0.28069198
15:09:00,-0.02938479,0.49907872,-0.28305722
15:10:00,-0.02840043,0.48599563,-0.27364462
15:11:00,-0.03755834,0.49341994,-0.30362732
15:12:00,-0.04670806,0.54377952,-0.33273817
15:13:00,-0.04320158,0.53928267,-0.34990448
15:14:00,-0.06044650,0.54642801,-0.36901984
15:15:00,-0.06504005,0.58804717,-0.36592852
15:16:00,-0.05576770,0.54302626,-0.35622203
15:17:00,-0.07366637,0.52185743,-0.34423939
15:18:00,-0.08119528,0.53019756,-0.35686181
15:19:00,-0.07945370,0.54306325,-0.34813901
15:20:00,-0.08185684,0.54220032,-0.34528289
15:21:00,-0.05594332,0.53106907,-0.34667668
